code,value
US,40.8
AL,27.9
AK,0.2
AZ,35.9
AR,41.7
CA,25.4
CO,47.6
CT,13.1
DE,40.8
DC,0
FL,26.9
GA,27.6
HI,27.3
ID,21.7
IL,75.4
IN,64.4
IA,86
KS,88.6
KY,55.4
LA,29.3
ME,6.8
MD,32.8
MA,10.4
MI,27.7
MN,52.9
MS,38.2
MO,66
MT,65.9
NE,92.5
NV,8.3
NH,8.2
NJ,15.6
NM,55.7
NY,23.8
NC,27.2
ND,89.8
OH,53.4
OK,79.9
OR,26.7
PA,27.3
RI,10.3
SC,25.4
SD,90
TN,41.6
TX,78
UT,21.1
VT,20.9
VA,32.1
WA,35.2
WV,24
WI,43.8
WY,48.6
